ph,batch_id,id,timestamp,timedelta
9.1,4932,1,2021-06-13T11:33:09,300789
9.11,4941,1,2021-06-13T12:18:09,303489
9.13,4950,1,2021-06-13T13:03:09,306189
9.14,4959,1,2021-06-13T13:48:09,308889
9.15,4968,1,2021-06-13T14:33:09,311589
9.17,4977,1,2021-06-13T15:18:10,314290
9.18,4986,1,2021-06-13T16:03:10,316990
9.19,4995,1,2021-06-13T16:48:09,319689
9.21,5004,1,2021-06-13T17:33:09,322389
9.22,5013,1,2021-06-13T18:18:09,325089
9.23,5022,1,2021-06-13T19:03:09,327789
9.24,5031,1,2021-06-13T19:48:09,330489
9.26,5040,1,2021-06-13T20:33:10,333190
9.27,5049,1,2021-06-13T21:18:09,335889
9.28,5058,1,2021-06-13T22:03:09,338589
9.29,5067,1,2021-06-13T22:48:09,341289
9.3,5076,1,2021-06-13T23:33:09,343989
9.31,5085,1,2021-06-14T00:18:09,346689
9.32,5094,1,2021-06-14T01:03:09,349389
9.34,5103,1,2021-06-14T01:48:09,352089
9.34,5112,1,2021-06-14T02:33:11,354791
9.34,5121,1,2021-06-14T03:18:09,357489
9.34,5130,1,2021-06-14T04:03:09,360189
9.34,5139,1,2021-06-14T04:48:10,362890
9.33,5148,1,2021-06-14T05:33:10,365590
9.32,5157,1,2021-06-14T06:18:09,368289
9.31,5166,1,2021-06-14T07:03:09,370989
9.3,5175,1,2021-06-14T07:48:09,373689
9.31,5184,1,2021-06-14T08:33:10,376390
9.32,5193,1,2021-06-14T09:18:09,379089
9.33,5202,1,2021-06-14T10:03:09,381789
9.35,5211,1,2021-06-14T10:48:09,384489
9.35,5220,1,2021-06-14T11:33:09,387189
9.34,5229,1,2021-06-14T12:18:09,389889
9.34,5238,1,2021-06-14T13:03:09,392589
9.34,5247,1,2021-06-14T13:48:09,395289
9.34,5256,1,2021-06-14T14:33:09,397989
9.33,5265,1,2021-06-14T15:18:09,400689
9.33,5274,1,2021-06-14T16:03:09,403389
9.33,5283,1,2021-06-14T16:48:09,406089
9.34,5292,1,2021-06-14T17:33:09,408789
9.22,5301,1,2021-06-14T18:18:09,411489
9.12,5310,1,2021-06-14T19:03:09,414189
9.05,5319,1,2021-06-14T19:48:09,416889
9.03,5328,1,2021-06-14T20:33:09,419589
9.04,5337,1,2021-06-14T21:18:10,422290
9.03,5346,1,2021-06-14T22:03:09,424989
9.07,5355,1,2021-06-14T22:48:09,427689
9.12,5364,1,2021-06-14T23:33:10,430390
9.16,5373,1,2021-06-15T00:18:09,433089
9.19,5382,1,2021-06-15T01:03:09,435789
9.21,5391,1,2021-06-15T01:48:10,438490
9.23,5400,1,2021-06-15T02:33:10,441190
9.25,5409,1,2021-06-15T03:18:09,443889
9.27,5418,1,2021-06-15T04:03:09,446589
9.28,5427,1,2021-06-15T04:48:10,449290
9.29,5436,1,2021-06-15T05:33:09,451989
9.29,5445,1,2021-06-15T06:18:09,454689
9.3,5454,1,2021-06-15T07:03:09,457389
9.3,5463,1,2021-06-15T07:48:09,460089
9.3,5472,1,2021-06-15T08:33:09,462789
9.3,5481,1,2021-06-15T09:18:09,465489
9.3,5490,1,2021-06-15T10:03:09,468189
9.3,5499,1,2021-06-15T10:48:10,470890
9.31,5508,1,2021-06-15T11:33:09,473589
9.31,5517,1,2021-06-15T12:18:10,476290
9.32,5526,1,2021-06-15T13:03:09,478989
9.32,5535,1,2021-06-15T13:48:10,481690
9.32,5544,1,2021-06-15T14:33:09,484389
9.33,5553,1,2021-06-15T15:18:09,487089
9.33,5562,1,2021-06-15T16:03:09,489789
9.33,5571,1,2021-06-15T16:48:09,492489
9.33,5580,1,2021-06-15T17:33:09,495189
9.32,5589,1,2021-06-15T18:18:09,497889
9.22,5598,1,2021-06-15T19:03:10,500590
9.11,5607,1,2021-06-15T19:48:09,503289
9.06,5616,1,2021-06-15T20:33:09,505989
9.01,5625,1,2021-06-15T21:18:10,508690
8.98,5634,1,2021-06-15T22:03:09,511389
8.99,5643,1,2021-06-15T22:48:09,514089
9.03,5652,1,2021-06-15T23:33:10,516790
9.08,5661,1,2021-06-16T00:18:10,519490
9.12,5670,1,2021-06-16T01:03:09,522189
9.15,5679,1,2021-06-16T01:48:09,524889
9.18,5688,1,2021-06-16T02:33:09,527589
9.2,5697,1,2021-06-16T03:18:09,530289
9.22,5706,1,2021-06-16T04:03:10,532990
9.23,5715,1,2021-06-16T04:48:10,535690
9.24,5724,1,2021-06-16T05:33:09,538389
9.26,5733,1,2021-06-16T06:18:09,541089
9.27,5742,1,2021-06-16T07:03:10,543790
9.26,5751,1,2021-06-16T07:48:09,546489
9.27,5760,1,2021-06-16T08:33:09,549189
9.26,5769,1,2021-06-16T09:18:10,551890
9.26,5778,1,2021-06-16T10:03:09,554589
9.26,5787,1,2021-06-16T10:48:09,557289
9.25,5796,1,2021-06-16T11:33:09,559989
9.25,5805,1,2021-06-16T12:18:09,562689
9.25,5814,1,2021-06-16T13:03:09,565389
9.24,5823,1,2021-06-16T13:48:09,568089
9.25,5832,1,2021-06-16T14:33:09,570789
9.27,5841,1,2021-06-16T15:18:09,573489
9.28,5850,1,2021-06-16T16:03:10,576190
9.3,5859,1,2021-06-16T16:48:10,578890
9.3,5868,1,2021-06-16T17:33:09,581589
9.27,5877,1,2021-06-16T18:18:09,584289
9.17,5886,1,2021-06-16T19:03:09,586989
9,5895,1,2021-06-16T19:48:09,589689
8.81,5904,1,2021-06-16T20:33:10,592390
8.81,5913,1,2021-06-16T21:18:09,595089
8.88,5922,1,2021-06-16T22:03:09,597789
8.96,5931,1,2021-06-16T22:48:10,600490
9.03,5940,1,2021-06-16T23:33:09,603189
9.08,5949,1,2021-06-17T00:18:09,605889
9.13,5958,1,2021-06-17T01:03:09,608589
9.17,5967,1,2021-06-17T01:48:09,611289
9.2,5976,1,2021-06-17T02:33:09,613989
9.22,5985,1,2021-06-17T03:18:09,616689
9.24,5994,1,2021-06-17T04:03:09,619389
9.26,6003,1,2021-06-17T04:48:09,622089
9.28,6012,1,2021-06-17T05:33:09,624789
9.28,6021,1,2021-06-17T06:18:09,627489
9.28,6030,1,2021-06-17T07:03:09,630189
9.28,6039,1,2021-06-17T07:48:09,632889
9.28,6048,1,2021-06-17T08:33:09,635589
9.28,6057,1,2021-06-17T09:18:10,638290
9.28,6066,1,2021-06-17T10:03:10,640990
9.29,6075,1,2021-06-17T10:48:09,643689
9.3,6084,1,2021-06-17T11:33:09,646389
9.29,6093,1,2021-06-17T12:18:09,649089
9.3,6102,1,2021-06-17T13:03:09,651789
9.31,6111,1,2021-06-17T13:48:09,654489
9.32,6120,1,2021-06-17T14:33:09,657189
9.34,6129,1,2021-06-17T15:18:09,659889
9.36,6138,1,2021-06-17T16:03:09,662589
9.37,6147,1,2021-06-17T16:48:10,665290
9.39,6156,1,2021-06-17T17:33:10,667990
9.4,6165,1,2021-06-17T18:18:10,670690
9.42,6174,1,2021-06-17T19:03:09,673389
9.4,6183,1,2021-06-17T19:48:09,676089
9.36,6192,1,2021-06-17T20:33:09,678789
9.35,6201,1,2021-06-17T21:18:09,681489
9.33,6210,1,2021-06-17T22:03:09,684189
9.31,6219,1,2021-06-17T22:48:09,686889
9.32,6228,1,2021-06-17T23:33:09,689589
9.33,6237,1,2021-06-18T00:18:09,692289
9.34,6246,1,2021-06-18T01:03:09,694989
9.36,6255,1,2021-06-18T01:48:10,697690
9.38,6264,1,2021-06-18T02:33:09,700389
9.39,6273,1,2021-06-18T03:18:09,703089
9.4,6282,1,2021-06-18T04:03:10,705790
9.41,6291,1,2021-06-18T04:48:11,708491
9.41,6300,1,2021-06-18T05:33:10,711190
9.41,6309,1,2021-06-18T06:18:09,713889
9.43,6318,1,2021-06-18T07:03:10,716590
9.43,6327,1,2021-06-18T07:48:09,719289
9.42,6336,1,2021-06-18T08:33:09,721989
9.42,6345,1,2021-06-18T09:18:09,724689
9.43,6354,1,2021-06-18T10:03:09,727389
9.43,6363,1,2021-06-18T10:48:09,730089
9.43,6372,1,2021-06-18T11:33:09,732789
9.44,6381,1,2021-06-18T12:18:09,735489
9.44,6390,1,2021-06-18T13:03:09,738189
9.46,6399,1,2021-06-18T13:48:09,740889
9.47,6408,1,2021-06-18T14:33:09,743589
9.48,6417,1,2021-06-18T15:18:09,746289
9.49,6426,1,2021-06-18T16:03:10,748990
9.51,6435,1,2021-06-18T16:48:09,751689
9.51,6444,1,2021-06-18T17:33:09,754389
9.48,6453,1,2021-06-18T18:18:09,757089
9.42,6462,1,2021-06-18T19:03:09,759789
9.33,6471,1,2021-06-18T19:48:10,762490
0,6480,1,2021-06-18T20:43:09,765789
8.95,6489,1,2021-06-18T21:48:09,769689
8.9,6498,1,2021-06-18T22:33:09,772389
8.95,6507,1,2021-06-18T23:18:09,775089
9.01,6516,1,2021-06-19T00:03:09,777789
9.07,6525,1,2021-06-19T00:48:09,780489
9.13,6534,1,2021-06-19T01:33:09,783189
9.17,6543,1,2021-06-19T02:18:09,785889
9.19,6552,1,2021-06-19T03:03:10,788590
9.22,6561,1,2021-06-19T03:48:09,791289
9.24,6570,1,2021-06-19T04:33:09,793989
9.26,6579,1,2021-06-19T05:18:09,796689
9.26,6588,1,2021-06-19T06:03:09,799389
9.27,6597,1,2021-06-19T06:48:09,802089
9.27,6606,1,2021-06-19T07:33:09,804789
9.27,6615,1,2021-06-19T08:18:09,807489
9.28,6624,1,2021-06-19T09:03:09,810189
9.29,6633,1,2021-06-19T09:48:09,812889
9.29,6642,1,2021-06-19T10:33:10,815590
9.29,6651,1,2021-06-19T11:18:09,818289
9.29,6660,1,2021-06-19T12:03:09,820989
9.29,6669,1,2021-06-19T12:48:10,823690
9.31,6678,1,2021-06-19T13:33:10,826390
9.32,6687,1,2021-06-19T14:18:09,829089
9.33,6696,1,2021-06-19T15:03:09,831789
9.35,6705,1,2021-06-19T15:48:09,834489
9.37,6714,1,2021-06-19T16:33:09,837189
9.37,6723,1,2021-06-19T17:18:09,839889
9.39,6732,1,2021-06-19T18:03:11,842591
9.41,6741,1,2021-06-19T18:48:10,845290
9.43,6750,1,2021-06-19T19:33:10,847990
9.44,6759,1,2021-06-19T20:18:09,850689
9.45,6768,1,2021-06-19T21:03:10,853390
9.46,6777,1,2021-06-19T21:48:09,856089
9.46,6786,1,2021-06-19T22:33:09,858789
9.47,6795,1,2021-06-19T23:18:09,861489
9.49,6804,1,2021-06-20T00:03:09,864189
9.5,6813,1,2021-06-20T00:48:10,866890
9.5,6822,1,2021-06-20T01:33:10,869590
9.5,6831,1,2021-06-20T02:18:10,872290
9.49,6840,1,2021-06-20T03:03:10,874990
9.47,6849,1,2021-06-20T03:48:09,877689
9.47,6858,1,2021-06-20T04:33:10,880390
9.46,6867,1,2021-06-20T05:18:09,883089
9.46,6876,1,2021-06-20T06:03:10,885790
9.45,6885,1,2021-06-20T06:48:09,888489
9.43,6894,1,2021-06-20T07:33:10,891190
9.42,6903,1,2021-06-20T08:18:09,893889
9.4,6912,1,2021-06-20T09:03:10,896590
9.38,6921,1,2021-06-20T09:48:09,899289
9.36,6930,1,2021-06-20T10:33:09,901989
9.36,6939,1,2021-06-20T11:18:10,904690
