densidade,batch_id,id,timestamp,hour
9995945,8595,1,2021-07-02T00:05:48,76.33666666666666
10006094,8604,1,2021-07-02T00:50:48,77.08666666666666
9990882,8613,1,2021-07-02T01:35:48,77.83666666666666
9995945,8622,1,2021-07-02T02:20:48,78.58666666666666
10016276,8631,1,2021-07-02T03:05:48,79.33666666666666
10026488,8640,1,2021-07-02T03:50:48,80.08666666666666
9995945,8649,1,2021-07-02T04:35:48,80.83666666666666
9950657,8658,1,2021-07-02T05:20:48,81.58666666666666
9975740,8667,1,2021-07-02T06:05:48,82.33666666666666
10021376,8676,1,2021-07-02T06:50:48,83.08666666666666
9985828,8685,1,2021-07-02T07:35:48,83.83666666666666
10021376,8694,1,2021-07-02T08:20:48,84.58666666666666
10011181,8703,1,2021-07-02T09:05:48,85.33666666666666
9990882,8712,1,2021-07-02T09:50:48,86.08666666666666
10011181,8721,1,2021-07-02T10:35:48,86.83666666666666
10011181,8730,1,2021-07-02T11:20:48,87.58666666666666
10036730,8739,1,2021-07-02T12:05:48,88.33666666666666
10021376,8748,1,2021-07-02T12:50:48,89.08666666666666
10047006,8757,1,2021-07-02T13:35:48,89.83666666666666
10036730,8766,1,2021-07-02T14:20:48,90.58666666666666
9990882,8775,1,2021-07-02T15:05:48,91.33666666666666
10016276,8784,1,2021-07-02T15:50:48,92.08666666666666
9995945,8793,1,2021-07-02T16:35:48,92.83666666666666
10057314,8802,1,2021-07-02T17:20:48,93.58666666666666
10041865,8811,1,2021-07-02T18:05:48,94.33666666666666
10011181,8820,1,2021-07-02T18:50:48,95.08666666666666
9985828,8829,1,2021-07-02T19:35:48,95.83666666666666
9970707,8838,1,2021-07-02T20:20:48,96.58666666666666
9940678,8847,1,2021-07-02T21:05:48,97.33666666666666
9985828,8856,1,2021-07-02T21:50:48,98.08666666666666
10006094,8865,1,2021-07-02T22:35:48,98.83666666666666
10021376,8874,1,2021-07-02T23:20:48,99.58666666666666
10021376,8883,1,2021-07-03T00:05:48,100.33666666666666
10016276,8892,1,2021-07-03T00:50:48,101.08666666666666
10067652,8901,1,2021-07-03T01:35:48,101.83666666666666
10041865,8910,1,2021-07-03T02:20:48,102.58666666666666
